,author,title,types,price,review,rate,year
90,Mark R. Levin,Liberty and Tyranny: A Conservative Manifesto,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.07</span></span>","5,063",4.8 out of 5 stars,2009
91,Stephenie Meyer,"Breaking Dawn (The Twilight Saga, Book 4)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.12</span></span>","17,355",4.7 out of 5 stars,2009
92,Sarah Palin,Going Rogue: An American Life,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","1,570",4.6 out of 5 stars,2009
93,Kathryn Stockett,StrengthsFinder 2.0,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","7,182",4.1 out of 5 stars,2009
94,Stephenie Meyer,The Help,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.14</span></span>","18,451",4.8 out of 5 stars,2009
95,Stephenie Meyer,New Moon (The Twilight Saga),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","12,831",4.7 out of 5 stars,2009
96,Malcolm Gladwell,The Twilight Saga Collection,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$13.52</span></span>","6,403",4.7 out of 5 stars,2009
97,Stephenie Meyer,Outliers: The Story of Success,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.60</span></span>","22,949",4.7 out of 5 stars,2009
98,Stephenie Meyer,Eclipse (Twilight),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","13,200",4.7 out of 5 stars,2009
99,Glenn Beck,"Twilight (The Twilight Saga, Book 1)",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","22,929",4.7 out of 5 stars,2009
100,Greg Mortenson,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.69</span></span>","1,422",4.5 out of 5 stars,2009
101,Stephen Kendrick,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.77</span></span>","3,520",4.3 out of 5 stars,2009
102,Steve Harvey,The Love Dare,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.15</span></span>","3,388",4.8 out of 5 stars,2009
103,Jeff Kinney,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.07</span></span>","7,132",4.6 out of 5 stars,2009
104,Stephen King,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.47</span></span>","8,317",4.7 out of 5 stars,2009
105,Mary Ann Shaffer,Under the Dome: A Novel,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","9,299",4.4 out of 5 stars,2009
106,David Zinczenko,The Guernsey Literary and Potato Peel Pie Society,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","15,342",4.6 out of 5 stars,2009
107,Glenn Beck,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>",945,4.5 out of 5 stars,2009
108,Julia Child,Arguing with Idiots: How to Stop Small Minds and Big Government,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.43</span></span>",901,4.6 out of 5 stars,2009
109,Charlaine Harris,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$9.15</span></span>","7,883",4.8 out of 5 stars,2009
110,Audrey Niffenegger,Sookie Stackhouse,Mass Market Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$5.00</span></span>",998,4.7 out of 5 stars,2009
111,American Psychological Association,The Time Traveler's Wife,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.10</span></span>","6,910",4.5 out of 5 stars,2009
112,Edward M. Kennedy,"Publication Manual of the American Psychological Association, 6th Edition",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.37</span></span>","12,782",4.5 out of 5 stars,2009
113,Stieg Larsson,True Compass: A Memoir,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.18</span></span>",512,4.5 out of 5 stars,2009
114,W. Cleon Skousen,The Girl with the Dragon Tattoo (Millennium Series),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","15,949",4.5 out of 5 stars,2009
115,Jim Collins,The 5000 Year Leap,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.33</span></span>","2,597",4.8 out of 5 stars,2009
116,Stephenie Meyer,Good to Great: Why Some Companies Make the Leap and Others Don't,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","6,018",4.5 out of 5 stars,2009
117,Maurice Sendak,Eclipse (Twilight Sagas),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.18</span></span>","13,200",4.7 out of 5 stars,2009
118,Elizabeth Strout,Where the Wild Things Are: A Caldecott Award Winner,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$3.59</span></span>","32,910",4.9 out of 5 stars,2009
119,Charlaine Harris,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","6,644",4.6 out of 5 stars,2009
120,David Zinczenko,Olive Kitteridge,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.40</span></span>","12,474",4.3 out of 5 stars,2009
